,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無量,去って行った方々に追いつきはしないでしょう。言葉を集めるか、あるいは沈黙に無量の思いをこめるかが、残された者の礼だと思います。一身を,"['去っ', 'て', '行っ', 'た', '方々', 'に', '追いつき', 'は', 'し', 'ない', 'でしょう', '。', '言葉', 'を', '集める', 'か', '、', 'あるいは', '沈黙', 'に', '無量', 'の', '思い', 'を', 'こめる', 'か', 'が', '、', '残さ', 'れ', 'た', '者', 'の', '礼', 'だ', 'と', '思い', 'ます', '。', '一身', 'を']",['無量'],NO,無量,NO,NO
1,無量,ということを彼は理解していた。しかし、その辛い生活においてさえも、人々は無量の感慨をこめて、作品のなかに自らの人間的な生の喜びの刻印を,"['と', 'いう', 'こと', 'を', '彼', 'は', '理解', 'し', 'て', 'い', 'た', '。', 'しかし', '、', 'その', '辛い', '生活', 'に', 'おい', 'て', 'さえ', 'も', '、', '人々', 'は', '無量', 'の', '感慨', 'を', 'こめ', 'て', '、', '作品', 'の', 'なか', 'に', '自ら', 'の', '人間', '的', 'な', '生', 'の', '喜び', 'の', '刻印', 'を']",['無量'],NO,無量,NO,NO
2,無量,です」このことばは、いつまでも彼の耳朶に響き渡り、それにつれて無量の感動が、うねりのごとくに湧いた。感涙に眼前の景はかすみ、彼,"['です', '」', 'この', 'ことば', 'は', '、', 'いつ', 'まで', 'も', '彼', 'の', '耳朶', 'に', '響き', '渡り', '、', 'それ', 'に', 'つれ', 'て', '無量', 'の', '感動', 'が', '、', 'うねり', 'の', 'ごとく', 'に', '湧い', 'た', '。', '感涙', 'に', '眼前', 'の', '景', 'は', 'かすみ', '、', '彼']",['無量'],NO,無量,NO,NO
3,無量,には雲が流れている。俯して地上を見ると、一望万里の黄土、旅情まことに無量というよりほかはない。万里の長城八達嶺古今列女伝『評林古今列女伝』斉の長城図,"['に', 'は', '雲', 'が', '流れ', 'て', 'いる', '。', '俯し', 'て', '地上', 'を', '見る', 'と', '、', '一望', '万里', 'の', '黄土', '、', '旅情', 'まこと', 'に', '無量', 'と', 'いう', 'より', 'ほか', 'は', 'ない', '。', '万里', 'の', '長城', '八達', '嶺', '古今', '列女', '伝', '『', '評', '林', '古今', '列女', '伝', '』', '斉', 'の', '長城', '図']",['無量'],NO,無量,NO,NO
4,無量,ｂｙＺｅｎの自覚から大拙は、現代の原典的な禅録とも言うべき殆ど無量の欧文和文の金文字を生み出したが、ｌｉｖｉｎｇｂｙＺｅｎの生ける泉,"['ｂｙＺｅｎ', 'の', '自覚', 'から', '大拙', 'は', '、', '現代', 'の', '原典', '的', 'な', '禅', '録', 'と', 'も', '言う', 'べき', '殆ど', '無量', 'の', '欧文', '和文', 'の', '金', '文字', 'を', '生み出し', 'た', 'が', '、', 'ｌｉｖｉｎｇｂｙＺｅｎ', 'の', '生ける', '泉']",['無量'],NO,無量,NO,NO
5,無量,まなうらの風景はなに病む前もかかる寡黙の父なりしやあやうし山の無量の光あたたかき風の立つにも病む父と早や去る追憶の如き風景火傷に卓効,"['ま', 'な', 'うら', 'の', '風景', 'はな', 'に', '病む', '前', 'も', 'かかる', '寡黙', 'の', '父', 'なり', 'し', 'やあ', 'や', 'うし', '山', 'の', '無量', 'の', '光', 'あ', 'たた', 'かき', '風', 'の', '立つ', 'に', 'も', '病む', '父', 'と', '早や', '去る', '追憶', 'の', '如き', '風景', '火傷', 'に', '卓効']",['無量'],NO,無量,NO,NO
6,無量,二十四年間の娘時代、そして東宮妃としての栄光と艱苦の二十九年を想い、込み上げる感慨には無量のものがあったろう。皇后としての約二年間、自信と実績をバックに、美智子さま,"['二十', '四', '年間', 'の', '娘', '時代', '、', 'そして', '東宮', '妃', 'と', 'し', 'て', 'の', '栄光', 'と', '艱苦', 'の', '二十', '九', '年', 'を', '想い', '、', '込み上げる', '感慨', 'に', 'は', '無量', 'の', 'もの', 'が', 'あっ', 'たろう', '。', '皇后', 'と', 'し', 'て', 'の', '約', '二', '年間', '、', '自信', 'と', '実績', 'を', 'バック', 'に', '、', '美智子', 'さま']",['無量'],NO,無量,NO,NO
7,無量,相聞ゆる撃杵の音と相和し、歴史の興廃と人事の悲哀とを語るものに似て無量の感慨を生せしむ、詞藻を解せさる余まても之を聞ひて一句,"['相聞', 'ゆる', '撃', '杵', 'の', '音', 'と', '相', '和し', '、', '歴史', 'の', '興廃', 'と', '人事', 'の', '悲哀', 'と', 'を', '語る', 'もの', 'に', '似', 'て', '無量', 'の', '感慨', 'を', '生せ', 'しむ', '、', '詞藻', 'を', '解せ', 'さる', '余', 'ま', 'て', 'も', '之', 'を', '聞', 'ひ', 'て', '一句']",['無量'],NO,無量,NO,NO
8,無量,がよく承知しており、自分で分析してみせた。「自分の内部には、無量の蛮性といったものがひそんで居る。その蛮性が時折破裂し、われながら愛想が尽きる」,"['が', 'よく', '承知', 'し', 'て', 'おり', '、', '自分', 'で', '分析', 'し', 'て', 'みせ', 'た', '。', '「', '自分', 'の', '内部', 'に', 'は', '、', '無量', 'の', '蛮性', 'と', 'いっ', 'た', 'もの', 'が', 'ひそん', 'で', '居る', '。', 'その', '蛮性', 'が', '時折', '破裂', 'し', '、', 'われ', 'ながら', '愛想', 'が', '尽きる', '」']",['無量'],NO,無量,NO,NO
9,無量,のは、むろん社会科学の用語ではない。強いてその言葉をつかうと、その事情は、無量ともいえるほどに、多量かつ多様な破砕群であって、一つの文化のなかに,"['の', 'は', '、', 'むろん', '社会', '科学', 'の', '用語', 'で', 'は', 'ない', '。', '強いて', 'その', '言葉', 'を', 'つかう', 'と', '、', 'その', '事情', 'は', '、', '無量', 'と', 'も', 'いえる', 'ほど', 'に', '、', '多量', 'かつ', '多様', 'な', '破砕', '群', 'で', 'あっ', 'て', '、', '一', 'つ', 'の', '文化', 'の', 'なか', 'に']",['無量'],NO,無量,NO,NO
