,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,研究室,は私の大学出身だが、あまり教えた記憶がない。だが、彼は私の研究室の飲み会にはいつも顔を出していたので、よく知っていた。サッカー部に,"['は', '私', 'の', '大学', '出身', 'だ', 'が', '、', 'あまり', '教えた', '記憶', 'が', 'ない', '。', 'だが', '、', '彼', 'は', '私', 'の', '研究', '室', 'の', '飲み', '会', 'に', 'は', 'いつも', '顔', 'を', '出して', 'いた', 'ので', '、', 'よく', '知って', 'いた', '。', 'サッカー', '部', 'に']","['研究', '室']",YES,研究室,NO,NO
1,研究室,ながら。全体的に感じの良い子が多いね。そんな中５Ｅの子に「研究室どこなのぉー？（ｗｉｔｈ笑顔）」って声かけたら，「なんのため,"['ながら', '。', '全体', '的に', '感じ', 'の', '良い', '子', 'が', '多い', 'ね', '。', 'そんな', '中', '５', 'Ｅ', 'の', '子', 'に', '「', '研究', '室', 'どこ', 'な', 'の', 'ぉ', 'ー', '？', '（', 'ｗｉｔｈ', '笑顔', '）', '」', 'って', '声かけ', 'たら', '，', '「', 'なんの', 'ため']","['研究', '室']",YES,研究室,NO,NO
2,研究室,により運営されている。財政的援助は政府機関からの基金，学会からの寄付，およびさまざまな研究室にいる科学者に供給された菌株の代金などでまかなわれている。ＡＴＣＣには,"['に', 'より', '運営', 'さ', 'れて', 'いる', '。', '財政', '的', '援助', 'は', '政府', '機関', 'から', 'の', '基金', '，', '学会', 'から', 'の', '寄付', '，', 'および', 'さまざまな', '研究', '室', 'に', 'いる', '科学', '者', 'に', '供給', 'さ', 'れた', '菌', '株', 'の', '代金', 'など', 'で', 'まかなわ', 'れて', 'いる', '。', 'ＡＴＣＣ', 'に', 'は']","['研究', '室']",YES,研究室,NO,NO
3,研究室,。立場上「神崎先生」と呼んでいるが、本当は医師ではないのだそうだ。大学の研究室で認知脳科学の研究をしている、大学教授なのだと聞いている。随分と若く見える,"['。', '立場', '上', '「', '神崎', '先生', '」', 'と', '呼んで', 'いる', 'が', '、', '本当', 'は', '医師', 'で', 'は', 'ない', 'のだ', 'そうだ', '。', '大学', 'の', '研究', '室', 'で', '認知', '脳', '科学', 'の', '研究', 'を', 'して', 'いる', '、', '大学', '教授', 'な', 'のだ', 'と', '聞いて', 'いる', '。', '随分', 'と', '若く', '見える']","['研究', '室']",YES,研究室,NO,NO
4,研究室,ではございません。昔はなかった、大きな機械が何台も据え付けられて、研究室はまるで発電所みたいになって」すべての栄誉を捨てて、世間と交渉を,"['では', 'ございませ', 'ん', '。', '昔', 'は', 'なかった', '、', '大きな', '機械', 'が', '何', '台', 'も', '据え付け', 'られて', '、', '研究', '室', 'は', 'まるで', '発電', '所', 'みたいに', 'なって', '」', 'すべて', 'の', '栄誉', 'を', '捨てて', '、', '世間', 'と', '交渉', 'を']","['研究', '室']",YES,研究室,NO,NO
5,研究室,。付け加えると、そのとき子どもは五歳。「同僚の奥さんに二カ月間子どもを預け、研究室にこもって書き上げた」もので、研究の成果を広く世に問うことになる一冊だっ,"['。', '付け加える', 'と', '、', 'その', 'とき', '子ども', 'は', '五', '歳', '。', '「', '同僚', 'の', '奥さん', 'に', '二', 'カ月間', '子ども', 'を', '預け', '、', '研究', '室', 'に', 'こもって', '書き', '上げた', '」', 'も', 'ので', '、', '研究', 'の', '成果', 'を', '広く', '世に', '問う', 'こと', 'に', 'なる', '一', '冊', 'だっ']","['研究', '室']",YES,研究室,NO,NO
6,研究室,たのですが、ゆっくりお話もできず、写真も全然とらず、気がついたら研究室のソファで寝ていました。皆さん、すいません。唯一デジカメに記録されていたの,"['たの', 'です', 'が', '、', 'ゆっくり', 'お', '話', 'も', 'でき', 'ず', '、', '写真', 'も', '全然', 'とら', 'ず', '、', '気', 'が', 'ついたら', '研究', '室', 'の', 'ソファ', 'で', '寝て', 'い', 'ました', '。', '皆さん', '、', 'すいません', '。', '唯一', 'デジカメ', 'に', '記録', 'さ', 'れて', 'いた', 'の']","['研究', '室']",YES,研究室,NO,NO
7,研究室,のだ。やがて、残暑もやや遠のいた九月中旬に新学期がはじまり、私はふたたび先生の研究室を訪ねた。どうせ聴講者は少ないだろうという私の予想に反して、十人も集まっ,"['のだ', '。', 'やがて', '、', '残暑', 'も', 'やや', '遠のいた', '九', '月', '中旬', 'に', '新', '学期', 'が', 'はじまり', '、', '私', 'は', 'ふたたび', '先生', 'の', '研究', '室', 'を', '訪ねた', '。', 'どうせ', '聴講', '者', 'は', '少ない', 'だろう', 'と', 'いう', '私', 'の', '予想', 'に', '反して', '、', '十', '人', 'も', '集まっ']","['研究', '室']",YES,研究室,NO,NO
8,研究室,で取ったという自身の経歴にあるようだ。経済の現場からは遠い快適な研究室に閉じこもり、純粋な理論の世界に浮遊する主流派の経済学者への反発と、こうし,"['で', '取った', 'と', 'いう', '自身', 'の', '経歴', 'に', 'ある', 'ようだ', '。', '経済', 'の', '現場', 'から', 'は', '遠い', '快適な', '研究', '室', 'に', '閉じこもり', '、', '純粋な', '理論', 'の', '世界', 'に', '浮遊', 'する', '主流', '派', 'の', '経済', '学者', 'へ', 'の', '反発', 'と', '、', 'こう', 'し']","['研究', '室']",YES,研究室,NO,NO
9,研究室,のは、千九百六十二年であった。大学の四回生のときで、微小地震の観測を計画した研究室の先輩たちの指導でいろんな仕事を経験した。まず、観測点をきめるために予備観測を,"['の', 'は', '、', '千九百六十二', '年', 'であった', '。', '大学', 'の', '四', '回生', 'の', 'とき', 'で', '、', '微小', '地震', 'の', '観測', 'を', '計画', 'した', '研究', '室', 'の', '先輩', 'たち', 'の', '指導', 'で', 'いろんな', '仕事', 'を', '経験', 'した', '。', 'まず', '、', '観測', '点', 'を', 'きめる', 'ため', 'に', '予備', '観測', 'を']","['研究', '室']",YES,研究室,NO,NO
10,研究室,ん。卒業すれば大学３年生に編入できます。今、大学４年生で単位が取れているので研究室だけです。大学院に行くつもりなんですが、奨学金制度があります。生活費捻出のため、,"['ん', '。', '卒業', 'すれば', '大学', '３', '年生', 'に', '編入', 'でき', 'ます', '。', '今', '、', '大学', '４', '年生', 'で', '単位', 'が', '取れて', 'いる', 'ので', '研究', '室', 'だけ', 'です', '。', '大学院', 'に', '行く', 'つもりな', 'んです', 'が', '、', '奨学', '金', '制度', 'が', 'あり', 'ます', '。', '生活', '費', '捻出', 'の', 'ため', '、']","['研究', '室']",YES,研究室,NO,NO
11,研究室,、物量を誇る米国といって来たばかりじゃないですか。米国人は、本郷の研究室にある程度のものは、掠奪しなくても、もっているんじゃありませんか」「戦争,"['、', '物量', 'を', '誇る', '米国', 'と', 'いって', '来た', 'ばかりじゃ', 'ない', 'です', 'か', '。', '米国', '人', 'は', '、', '本郷', 'の', '研究', '室', 'に', 'ある', '程度', 'の', 'もの', 'は', '、', '掠奪', 'し', 'なくて', 'も', '、', 'もって', 'いる', 'んじゃ', 'あり', 'ませ', 'ん', 'か', '」', '「', '戦争']","['研究', '室']",YES,研究室,NO,NO
