,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,処理場,ようでございますけれども、そういうごみを処理する、どこか運んでいかなければならない。いわゆる処理場が破損したのじゃなくて、ごみそのものの処理の事業、これはいろいろ大変むずかしい,"['よう', 'で', 'ござい', 'ます', 'けれども', '、', 'そういう', 'ごみ', 'を', '処理', 'する', '、', 'どこ', 'か', '運ん', 'で', 'いか', 'なけれ', 'ば', 'なら', 'ない', '。', 'いわゆる', '処理', '場', 'が', '破損', 'し', 'た', 'の', 'じゃ', 'なく', 'て', '、', 'ごみ', 'そのもの', 'の', '処理', 'の', '事業', '、', 'これ', 'は', 'いろいろ', '大変', 'むずかしい']","['処理', '場']",YES,処理場,NO,NO
1,処理場,、下水道管理用光ファイバー網の整備により構築する。このため、通常の管理用光ファイバーに対する国庫補助のほか、事業場と処理場を光ファイバーで結び排水水質の常時監視を行うシステムを構築する事業を平成８年度から開始しているほか,"['、', '下水道', '管理', '用', '光ファイバー', '網', 'の', '整備', 'により', '構築', 'する', '。', 'この', 'ため', '、', '通常', 'の', '管理', '用', '光ファイバー', 'に対する', '国庫', '補助', 'の', 'ほか', '、', '事業', '場', 'と', '処理', '場', 'を', '光ファイバー', 'で', '結び', '排水', '水質', 'の', '常時', '監視', 'を', '行う', 'システム', 'を', '構築', 'する', '事業', 'を', '平成', '８', '年度', 'から', '開始', 'し', 'て', 'いる', 'ほか']","['処理', '場']",YES,処理場,NO,NO
2,処理場,重点的な使い方が必要なのではないか、私はそんなふうに思っております。一般廃棄物の処理場の補助率、一般的に、地方では四分の一と言われておりますが、本当につくら,"['重点的', 'な', '使い方', 'が', '必要', 'な', 'の', 'で', 'は', 'ない', 'か', '、', '私', 'は', 'そんな', 'ふう', 'に', '思っ', 'て', 'おり', 'ます', '。', '一般', '廃棄', '物', 'の', '処理', '場', 'の', '補助', '率', '、', '一般', '的', 'に', '、', '地方', 'で', 'は', '四', '分の', '一', 'と', '言わ', 'れ', 'て', 'おり', 'ます', 'が', '、', '本当に', 'つくら']","['処理', '場']",YES,処理場,NO,NO
3,処理場,、空間と資源には限りがあり、増えつづける一方のゴミの流れを処理するにも処理場の数は限られている、という点である。冷戦が終わった今日にあっては,"['、', '空間', 'と', '資源', 'に', 'は', '限り', 'が', 'あり', '、', '増え', 'つづける', '一方', 'の', 'ゴミ', 'の', '流れ', 'を', '処理', 'する', 'に', 'も', '処理', '場', 'の', '数', 'は', '限ら', 'れ', 'て', 'いる', '、', 'という', '点', 'で', 'ある', '。', '冷戦', 'が', '終わっ', 'た', '今日', 'に', 'あっ', 'て', 'は']","['処理', '場']",YES,処理場,NO,NO
4,処理場,能勢のダイオキシン、これはごみではなくして、ごみを処理していたところの処理場の処理ということにちょっと話を移させていただきたいというふうに思うのですが、個別,"['能勢', 'の', 'ダイオキシン', '、', 'これ', 'は', 'ごみ', 'で', 'は', 'なくし', 'て', '、', 'ごみ', 'を', '処理', 'し', 'て', 'い', 'た', 'ところ', 'の', '処理', '場', 'の', '処理', 'という', 'こと', 'に', 'ちょっと', '話', 'を', '移さ', 'せ', 'て', 'いただき', 'たい', 'という', 'ふう', 'に', '思う', 'の', 'です', 'が', '、', '個別']","['処理', '場']",YES,処理場,NO,NO
5,処理場,を持って行きましょう！下水道の正しい使い方洗剤は適量で！洗剤の使い過ぎは処理場の機能を低下させます。洗剤は適量にしましょう。パパ・ママ教室保健福祉部健康推進室（あいあい☎,"['を', '持っ', 'て', '行き', 'ましょ', 'う', '！', '下水道', 'の', '正しい', '使い方', '洗剤', 'は', '適量', 'で', '！', '洗剤', 'の', '使い', '過ぎ', 'は', '処理', '場', 'の', '機能', 'を', '低下', 'さ', 'せ', 'ます', '。', '洗剤', 'は', '適量', 'に', 'し', 'ましょ', 'う', '。', 'パパ', '・', 'ママ', '教室', '保健', '福祉', '部', '健康', '推進', '室', '（', 'あいあい', '☎']","['処理', '場']",YES,処理場,NO,NO
6,処理場,の物品が肥料として使われる。すると、サナダムシの卵が野菜なら野菜に付着する。処理場では、熱が加えられていないから、卵は生きているのである。野菜は卵付き,"['の', '物品', 'が', '肥料', 'として', '使わ', 'れる', '。', 'する', 'と', '、', 'サナダムシ', 'の', '卵', 'が', '野菜', 'なら', '野菜', 'に', '付着', 'する', '。', '処理', '場', 'で', 'は', '、', '熱', 'が', '加え', 'られ', 'て', 'い', 'ない', 'から', '、', '卵', 'は', '生き', 'て', 'いる', 'の', 'で', 'ある', '。', '野菜', 'は', '卵', '付き']","['処理', '場']",YES,処理場,NO,NO
7,処理場,旅館若しくは下宿、共同住宅、寄宿舎、公衆浴場、鉄塔、火葬場、と畜場、ごみ若しくは汚物の処理場、熱供給事業法（昭和四十七年法律第八十八号）第２条第４項に規定する熱供給施設、石油パイプライン事業法（昭和四十七年法律第百五号,"['旅館', '若しくは', '下宿', '、', '共同', '住宅', '、', '寄宿舎', '、', '公衆', '浴場', '、', '鉄塔', '、', '火葬', '場', '、', 'と畜場', '、', 'ごみ', '若しくは', '汚物', 'の', '処理', '場', '、', '熱', '供給', '事業', '法', '（', '昭和', '四', '十', '七', '年', '法律', '第', '八', '十', '八', '号', '）', '第', '２', '条', '第', '４', '項', 'に', '規定', 'する', '熱', '供給', '施設', '、', '石油', 'パイプライン', '事業', '法', '（', '昭和', '四', '十', '七', '年', '法律', '第', '百', '五', '号']","['処理', '場']",YES,処理場,NO,NO
8,処理場,たように実質的にアイソトープ協会だけでございます。ここが分散をしましてそういう処理場を設けるということは効率的ではないわけでございまして、全国のかなりな部分をそう,"['た', 'よう', 'に', '実質', '的', 'に', 'アイソトープ', '協会', 'だけ', 'で', 'ござい', 'ます', '。', 'ここ', 'が', '分散', 'を', 'し', 'まし', 'て', 'そういう', '処理', '場', 'を', '設ける', 'という', 'こと', 'は', '効率', '的', 'で', 'は', 'ない', 'わけ', 'で', 'ござい', 'まし', 'て', '、', '全国', 'の', 'かなり', 'な', '部分', 'を', 'そう']","['処理', '場']",YES,処理場,NO,NO
9,処理場,いて、宿主であるヒトの排泄物の中に卵がまじっている。排泄物はバキューム・カーによって処理場に運ばれ、乾燥されて、汚なくもなければほとんどくさくもないブロック型の固形物となる,"['い', 'て', '、', '宿主', 'で', 'ある', 'ヒト', 'の', '排泄', '物', 'の', '中', 'に', '卵', 'が', 'まじっ', 'て', 'いる', '。', '排泄', '物', 'は', 'バキューム・カー', 'によって', '処理', '場', 'に', '運ば', 'れ', '、', '乾燥', 'さ', 'れ', 'て', '、', '汚', 'なく', 'も', 'なけれ', 'ば', 'ほとんど', 'くさく', 'も', 'ない', 'ブロック', '型', 'の', '固形', '物', 'と', 'なる']","['処理', '場']",YES,処理場,NO,NO
